"","count","rate","pool_size","neg_1","neg_2","neg_5","neg_10"
"ELR1...Q2",90,0.87378640776699,103,6,0,5,2
"ELR1...Q4",95,0.922330097087379,103,8,0,0,0
"ELR1...Q1",89,0.864077669902913,103,3,0,6,5
"ELR1...Q3",74,0.718446601941748,103,18,0,7,4
"ELR1...Q5",58,0.563106796116505,103,0,0,12,33
"ELR1...Q6",83,0.805825242718447,103,5,4,9,0
"ELR2...Q1",91,0.883495145631068,103,5,0,3,4
"ELR2...Q5",66,0.640776699029126,103,26,11,0,0
"ELR2...Q2",90,0.87378640776699,103,4,2,0,7
"ELR2...Q4",89,0.864077669902913,103,14,0,0,0
"ELR2...Q6",77,0.747572815533981,103,8,12,0,4
"ELR2...Q3",87,0.844660194174757,103,5,7,4,0
"ERL1...Q3",74,0.718446601941748,103,16,7,4,0
"ERL1...Q2",90,0.87378640776699,103,6,0,3,4
"ERL1...Q5",82,0.796116504854369,103,10,11,0,0
"ERL1...Q1",88,0.854368932038835,103,8,3,0,4
"ERL1...Q4",81,0.786407766990291,103,22,0,0,0
"ERL1...Q6",73,0.70873786407767,103,13,0,11,4
"ERL2...Q2",90,0.87378640776699,103,5,0,4,4
"ERL2...Q3",81,0.786407766990291,103,0,9,5,8
"ERL2...Q4",88,0.854368932038835,103,15,0,0,0
"ERL2...Q6",66,0.640776699029126,103,8,20,7,0
"ERL2...Q5",75,0.728155339805825,103,0,0,16,12
"ERL2...Q1",87,0.844660194174757,103,5,6,5,0
"ETB1...Q4",88,0.854368932038835,103,10,0,0,0
"ETB1...Q3",79,0.766990291262136,103,7,0,13,1
"ETB1...Q1",89,0.864077669902913,103,3,0,2,7
"ETB1...Q5",73,0.70873786407767,103,12,15,0,0
"ETB1...Q6",86,0.83495145631068,103,0,4,9,2
"ETB1...Q2",87,0.844660194174757,103,6,1,0,7
"ETB2...Q1",90,0.87378640776699,103,7,0,1,3
"ETB2...Q4",88,0.854368932038835,103,13,0,0,0
"ETB2...Q6",80,0.776699029126214,103,6,13,0,2
"ETB2...Q5",69,0.669902912621359,103,13,19,0,0
"ETB2...Q2",85,0.825242718446602,103,8,0,8,0
"ETB2...Q3",73,0.70873786407767,103,11,0,4,13
"ALR1...Q1",7,0.466666666666667,15,2,0,3,3
"ALR1...Q2",5,0.333333333333333,15,3,0,2,5
"ALR1...Q3",5,0.333333333333333,15,4,0,3,3
"ALR1...Q4",7,0.466666666666667,15,8,0,0,0
"ALR1...Q5",6,0.4,15,6,3,0,0
"ALR1...Q6",5,0.333333333333333,15,0,7,3,0
"ALR2...Q1",8,0.533333333333333,15,1,5,0,1
"ALR2...Q2",6,0.4,15,3,2,0,4
"ALR2...Q3",5,0.333333333333333,15,4,0,3,3
"ALR2...Q4",8,0.533333333333333,15,7,0,0,0
"ALR2...Q5",7,0.466666666666667,15,2,0,6,0
"ALR2...Q6",6,0.4,15,1,4,4,0
"ARL1...Q1",8,0.533333333333333,15,2,4,0,1
"ARL1...Q2",9,0.6,15,1,2,0,3
"ARL1...Q3",8,0.533333333333333,15,2,2,0,3
"ARL1...Q4",9,0.6,15,6,0,0,0
"ARL1...Q5",6,0.4,15,0,0,5,4
"ARL1...Q6",5,0.333333333333333,15,5,3,2,0
"ARL2...Q1",5,0.333333333333333,15,5,0,2,3
"ARL2...Q2",6,0.4,15,5,0,1,3
"ARL2...Q3",4,0.266666666666667,15,4,0,4,3
"ARL2...Q4",10,0.666666666666667,15,5,0,0,0
"ARL2...Q5",6,0.4,15,2,7,0,0
"ARL2...Q6",5,0.333333333333333,15,0,3,1,6
"ATB1...Q1",5,0.333333333333333,15,6,0,1,3
"ATB1...Q2",6,0.4,15,3,0,1,5
"ATB1...Q3",6,0.4,15,8,1,0,0
"ATB1...Q4",9,0.6,15,6,0,0,0
"ATB1...Q5",7,0.466666666666667,15,3,5,0,0
"ATB1...Q6",6,0.4,15,4,1,4,0
"ATB2...Q1",9,0.6,15,0,4,0,2
"ATB2...Q2",7,0.466666666666667,15,2,0,2,4
"ATB2...Q3",2,0.133333333333333,15,8,1,0,4
"ATB2...Q4",7,0.466666666666667,15,8,0,0,0
"ATB2...Q5",6,0.4,15,2,0,7,0
"ATB2...Q6",9,0.6,15,5,0,1,0
"ULR1...Q1",10,0.357142857142857,28,9,0,1,8
"ULR1...Q2",13,0.464285714285714,28,5,0,8,2
"ULR1...Q3",8,0.285714285714286,28,8,0,6,6
"ULR1...Q4",18,0.642857142857143,28,10,0,0,0
"ULR1...Q5",10,0.357142857142857,28,7,11,0,0
"ULR1...Q6",10,0.357142857142857,28,5,4,7,0
"ULR2...Q1",13,0.464285714285714,28,5,0,5,5
"ULR2...Q2",10,0.357142857142857,28,4,6,0,8
"ULR2...Q3",11,0.392857142857143,28,8,0,4,5
"ULR2...Q4",14,0.5,28,14,0,0,0
"ULR2...Q5",12,0.428571428571429,28,4,0,12,0
"ULR2...Q6",12,0.428571428571429,28,5,5,4,0
"URL1...Q1",8,0.285714285714286,28,9,8,0,3
"URL1...Q2",10,0.357142857142857,28,2,8,0,8
"URL1...Q3",8,0.285714285714286,28,8,7,0,5
"URL1...Q4",13,0.464285714285714,28,15,0,0,0
"URL1...Q5",7,0.25,28,0,0,9,12
"URL1...Q6",6,0.214285714285714,28,5,8,7,0
"URL2...Q1",9,0.321428571428571,28,5,0,7,7
"URL2...Q2",15,0.535714285714286,28,5,0,4,4
"URL2...Q3",8,0.285714285714286,28,5,0,9,6
"URL2...Q4",12,0.428571428571429,28,16,0,0,0
"URL2...Q5",12,0.428571428571429,28,8,8,0,0
"URL2...Q6",7,0.25,28,0,5,7,7
"UTB1...Q1",4,0.142857142857143,28,11,0,6,5
"UTB1...Q2",8,0.285714285714286,28,7,0,0,11
"UTB1...Q3",7,0.25,28,9,5,0,5
"UTB1...Q4",14,0.5,28,12,0,0,0
"UTB1...Q5",12,0.428571428571429,28,6,8,0,0
"UTB1...Q6",10,0.357142857142857,28,9,1,6,0
"UTB2...Q1",11,0.392857142857143,28,0,4,0,11
"UTB2...Q2",14,0.5,28,7,0,2,3
"UTB2...Q3",3,0.107142857142857,28,8,11,0,4
"UTB2...Q4",15,0.535714285714286,28,11,0,0,0
"UTB2...Q5",9,0.321428571428571,28,4,0,13,0
"UTB2...Q6",12,0.428571428571429,28,6,0,7,1
"ELR3...Q1",59,0.983333333333333,60,0,0,0,1
"ELR3...Q2",58,0.966666666666667,60,2,0,0,0
"ELR3...Q3",52,0.866666666666667,60,1,0,6,1
"ELR3...Q4",58,0.966666666666667,60,2,0,0,0
"ELR3...Q5",50,0.833333333333333,60,1,9,0,0
"ELR3...Q6",57,0.95,60,2,0,1,0
"ELR4...Q1",58,0.966666666666667,60,1,0,1,0
"ELR4...Q2",58,0.966666666666667,60,0,1,0,1
"ELR4...Q3",35,0.583333333333333,60,22,0,2,1
"ELR4...Q4",56,0.933333333333333,60,4,0,0,0
"ELR4...Q5",38,0.633333333333333,60,10,0,12,0
"ELR4...Q6",57,0.95,60,1,1,1,0
"ERL3...Q1",54,0.9,60,6,0,0,0
"ERL3...Q2",60,1,60,0,0,0,0
"ERL3...Q3",49,0.816666666666667,60,6,4,0,1
"ERL3...Q4",48,0.8,60,12,0,0,0
"ERL3...Q5",49,0.816666666666667,60,0,0,10,1
"ERL3...Q6",49,0.816666666666667,60,11,0,0,0
"ERL4...Q1",57,0.95,60,2,0,1,0
"ERL4...Q2",58,0.966666666666667,60,0,0,2,0
"ERL4...Q3",53,0.883333333333333,60,1,0,5,1
"ERL4...Q4",53,0.883333333333333,60,7,0,0,0
"ERL4...Q5",50,0.833333333333333,60,2,8,0,0
"ERL4...Q6",53,0.883333333333333,60,0,0,3,4
"ETB3...Q1",57,0.95,60,3,0,0,0
"ETB3...Q2",58,0.966666666666667,60,1,0,0,1
"ETB3...Q3",50,0.833333333333333,60,10,0,0,0
"ETB3...Q4",60,1,60,0,0,0,0
"ETB3...Q5",50,0.833333333333333,60,6,4,0,0
"ETB3...Q6",58,0.966666666666667,60,1,0,1,0
"ETB4...Q1",60,1,60,0,0,0,0
"ETB4...Q2",59,0.983333333333333,60,0,0,0,1
"ETB4...Q3",39,0.65,60,7,14,0,0
"ETB4...Q4",58,0.966666666666667,60,2,0,0,0
"ETB4...Q5",51,0.85,60,2,0,7,0
"ETB4...Q6",54,0.9,60,4,0,2,0
